Demand data gathered by Tyler Ruggles from NYISO database,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2004,1,1,1,18670.0
2004,1,1,2,17891.0
2004,1,1,3,16999.0
2004,1,1,4,16180.0
2004,1,1,5,15319.0
2004,1,1,6,14462.0
2004,1,1,7,13753.0
2004,1,1,8,13280.0
2004,1,1,9,13119.0
2004,1,1,10,13241.0
2004,1,1,11,13586.0
2004,1,1,12,13771.0
2004,1,1,13,14164.0
2004,1,1,14,14847.0
2004,1,1,15,15599.0
2004,1,1,16,16049.0
2004,1,1,17,16189.0
2004,1,1,18,16141.0
2004,1,1,19,16070.0
2004,1,1,20,16138.0
2004,1,1,21,17255.0
2004,1,1,22,18896.0
2004,1,1,23,18964.0
2004,1,1,24,18689.0
2004,1,2,1,18301.0
2004,1,2,2,17790.0
2004,1,2,3,16757.0
2004,1,2,4,15455.0
2004,1,2,5,14358.0
2004,1,2,6,13655.0
2004,1,2,7,13242.0
2004,1,2,8,13072.0
2004,1,2,9,13154.0
2004,1,2,10,13846.0
2004,1,2,11,15191.0
2004,1,2,12,16580.0
2004,1,2,13,17607.0
2004,1,2,14,18426.0
2004,1,2,15,19013.0
2004,1,2,16,19107.0
2004,1,2,17,18954.0
2004,1,2,18,18765.0
2004,1,2,19,18564.0
2004,1,2,20,18558.0
2004,1,2,21,19258.0
2004,1,2,22,20618.0
2004,1,2,23,20335.0
2004,1,2,24,19828.0
2004,1,3,1,19171.0
2004,1,3,2,18341.0
2004,1,3,3,17180.0
2004,1,3,4,15853.0
2004,1,3,5,14592.0
2004,1,3,6,13722.0
2004,1,3,7,13198.0
2004,1,3,8,12934.0
2004,1,3,9,12882.0
2004,1,3,10,13091.0
2004,1,3,11,13665.0
2004,1,3,12,14396.0
2004,1,3,13,15281.0
2004,1,3,14,16297.0
2004,1,3,15,16957.0
2004,1,3,16,17128.0
2004,1,3,17,17090.0
2004,1,3,18,16898.0
2004,1,3,19,16698.0
2004,1,3,20,16619.0
2004,1,3,21,17459.0
2004,1,3,22,18857.0
2004,1,3,23,18847.0
2004,1,3,24,18463.0
2004,1,4,1,17986.0
2004,1,4,2,17360.0
2004,1,4,3,16452.0
2004,1,4,4,15287.0
2004,1,4,5,14151.0
2004,1,4,6,13344.0
2004,1,4,7,12830.0
2004,1,4,8,12499.0
2004,1,4,9,12420.0
2004,1,4,10,12581.0
2004,1,4,11,12985.0
2004,1,4,12,13468.0
2004,1,4,13,14247.0
2004,1,4,14,15294.0
2004,1,4,15,16132.0
2004,1,4,16,16739.0
2004,1,4,17,17158.0
2004,1,4,18,17282.0
2004,1,4,19,17366.0
2004,1,4,20,17602.0
2004,1,4,21,18625.0
2004,1,4,22,19766.0
2004,1,4,23,19683.0
2004,1,4,24,19362.0
2004,1,5,1,18860.0
2004,1,5,2,17986.0
2004,1,5,3,16771.0
2004,1,5,4,15439.0
2004,1,5,5,14418.0
2004,1,5,6,13848.0
2004,1,5,7,13580.0
2004,1,5,8,13512.0
2004,1,5,9,13725.0
2004,1,5,10,14745.0
2004,1,5,11,16932.0
2004,1,5,12,18816.0
2004,1,5,13,19549.0
2004,1,5,14,20055.0
2004,1,5,15,20427.0
2004,1,5,16,20550.0
2004,1,5,17,20519.0
2004,1,5,18,20546.0
2004,1,5,19,20451.0
2004,1,5,20,20510.0
2004,1,5,21,21439.0
2004,1,5,22,22317.0
2004,1,5,23,22121.0
2004,1,5,24,21549.0
2004,1,6,1,20795.0
2004,1,6,2,19645.0
2004,1,6,3,18099.0
2004,1,6,4,16547.0
2004,1,6,5,15368.0
2004,1,6,6,14687.0
2004,1,6,7,14354.0
2004,1,6,8,14240.0
2004,1,6,9,14416.0
2004,1,6,10,15387.0
2004,1,6,11,17533.0
2004,1,6,12,19166.0
2004,1,6,13,19645.0
2004,1,6,14,20018.0
2004,1,6,15,20211.0
2004,1,6,16,20193.0
2004,1,6,17,20080.0
2004,1,6,18,20094.0
2004,1,6,19,19982.0
2004,1,6,20,20113.0
2004,1,6,21,21077.0
2004,1,6,22,22711.0
2004,1,6,23,22778.0
2004,1,6,24,22333.0
2004,1,7,1,21618.0
2004,1,7,2,20556.0
2004,1,7,3,19031.0
2004,1,7,4,17432.0
2004,1,7,5,16314.0
2004,1,7,6,15746.0
2004,1,7,7,15498.0
2004,1,7,8,15429.0
2004,1,7,9,15600.0
2004,1,7,10,16577.0
2004,1,7,11,18712.0
2004,1,7,12,20276.0
2004,1,7,13,20806.0
2004,1,7,14,21132.0
2004,1,7,15,21360.0
2004,1,7,16,21346.0
2004,1,7,17,21248.0
2004,1,7,18,21239.0
2004,1,7,19,21171.0
2004,1,7,20,21287.0
2004,1,7,21,22131.0
2004,1,7,22,23687.0
2004,1,7,23,23534.0
2004,1,7,24,23060.0
2004,1,8,1,22309.0
2004,1,8,2,21105.0
2004,1,8,3,19536.0
2004,1,8,4,17891.0
2004,1,8,5,16674.0
2004,1,8,6,16047.0
2004,1,8,7,15734.0
2004,1,8,8,15619.0
2004,1,8,9,15759.0
2004,1,8,10,16740.0
2004,1,8,11,18846.0
2004,1,8,12,19422.5
2004,1,8,13,21015.0
2004,1,8,14,21289.0
2004,1,8,15,21314.0
2004,1,8,16,21210.0
2004,1,8,17,21124.0
2004,1,8,18,20962.0
2004,1,8,19,20755.0
2004,1,8,20,20954.0
2004,1,8,21,21652.0
2004,1,8,22,23167.0
2004,1,8,23,23152.0
2004,1,8,24,22660.0
2004,1,9,1,21944.0
2004,1,9,2,20891.0
2004,1,9,3,19358.0
2004,1,9,4,17792.0
2004,1,9,5,16556.0
2004,1,9,6,16019.0
2004,1,9,7,15769.0
2004,1,9,8,15731.0
2004,1,9,9,15970.0
2004,1,9,10,16968.0
2004,1,9,11,19174.0
2004,1,9,12,20812.0
2004,1,9,13,21335.0
2004,1,9,14,21699.0
2004,1,9,15,21860.0
2004,1,9,16,21872.0
2004,1,9,17,21708.0
2004,1,9,18,21714.0
2004,1,9,19,21538.0
2004,1,9,20,21481.0
2004,1,9,21,22141.0
2004,1,9,22,23531.0
2004,1,9,23,23600.0
2004,1,9,24,23107.0
2004,1,10,1,22426.0
2004,1,10,2,21555.0
2004,1,10,3,20430.0
2004,1,10,4,19058.0
2004,1,10,5,17971.0
2004,1,10,6,17280.0
2004,1,10,7,16883.0
2004,1,10,8,16690.0
2004,1,10,9,16702.0
2004,1,10,10,17045.0
2004,1,10,11,17851.0
2004,1,10,12,18537.0
2004,1,10,13,19576.0
2004,1,10,14,20459.0
2004,1,10,15,20998.0
2004,1,10,16,21056.0
2004,1,10,17,20878.0
2004,1,10,18,20533.0
2004,1,10,19,20203.0
2004,1,10,20,20131.0
2004,1,10,21,20857.0
2004,1,10,22,22569.0
2004,1,10,23,22781.0
2004,1,10,24,22283.0
2004,1,11,1,21712.0
2004,1,11,2,21046.0
2004,1,11,3,20095.0
2004,1,11,4,18958.0
2004,1,11,5,17845.0
2004,1,11,6,17068.0
2004,1,11,7,16581.0
2004,1,11,8,16317.0
2004,1,11,9,16247.0
2004,1,11,10,16491.0
2004,1,11,11,16956.0
2004,1,11,12,17422.0
2004,1,11,13,18223.0
2004,1,11,14,18994.0
2004,1,11,15,19486.0
2004,1,11,16,19748.0
2004,1,11,17,19768.0
2004,1,11,18,19603.0
2004,1,11,19,19416.0
2004,1,11,20,19437.0
2004,1,11,21,20225.0
2004,1,11,22,21710.0
2004,1,11,23,21782.0
2004,1,11,24,21330.0
2004,1,12,1,20757.0
2004,1,12,2,19822.0
2004,1,12,3,18543.0
2004,1,12,4,17169.0
2004,1,12,5,16134.0
2004,1,12,6,15544.0
2004,1,12,7,15249.0
2004,1,12,8,15146.0
2004,1,12,9,15330.0
2004,1,12,10,16282.0
2004,1,12,11,18325.0
2004,1,12,12,19989.0
2004,1,12,13,20713.0
2004,1,12,14,21101.0
2004,1,12,15,21357.0
2004,1,12,16,21420.0
2004,1,12,17,21349.0
2004,1,12,18,21253.0
2004,1,12,19,21102.0
2004,1,12,20,21095.0
2004,1,12,21,21797.0
2004,1,12,22,22971.0
2004,1,12,23,22771.0
2004,1,12,24,22185.0
2004,1,13,1,21386.0
2004,1,13,2,20251.0
2004,1,13,3,18593.0
2004,1,13,4,16980.0
2004,1,13,5,15776.0
2004,1,13,6,15140.0
2004,1,13,7,14810.0
2004,1,13,8,14644.0
2004,1,13,9,14742.0
2004,1,13,10,15719.0
2004,1,13,11,17826.0
2004,1,13,12,19565.0
2004,1,13,13,20137.0
2004,1,13,14,20519.0
2004,1,13,15,20870.0
2004,1,13,16,21082.0
2004,1,13,17,20842.0
2004,1,13,18,20622.0
2004,1,13,19,20655.0
2004,1,13,20,20834.0
2004,1,13,21,21560.0
2004,1,13,22,23355.0
2004,1,13,23,23548.0
2004,1,13,24,23079.0
2004,1,14,1,22506.0
2004,1,14,2,21435.0
2004,1,14,3,19923.0
2004,1,14,4,18367.0
2004,1,14,5,17375.0
2004,1,14,6,16767.0
2004,1,14,7,16517.0
2004,1,14,8,16470.0
2004,1,14,9,16729.0
2004,1,14,10,17714.0
2004,1,14,11,19911.0
2004,1,14,12,21654.0
2004,1,14,13,22265.0
2004,1,14,14,22651.0
2004,1,14,15,22677.0
2004,1,14,16,22558.0
2004,1,14,17,22391.0
2004,1,14,18,22454.0
2004,1,14,19,22407.0
2004,1,14,20,22580.0
2004,1,14,21,23308.0
2004,1,14,22,24627.0
2004,1,14,23,24586.0
2004,1,14,24,24061.0
2004,1,15,1,23336.0
2004,1,15,2,22212.0
2004,1,15,3,20617.0
2004,1,15,4,19027.0
2004,1,15,5,17877.0
2004,1,15,6,17183.0
2004,1,15,7,16855.0
2004,1,15,8,16776.0
2004,1,15,9,16990.0
2004,1,15,10,17869.0
2004,1,15,11,19677.0
2004,1,15,12,21143.0
2004,1,15,13,21886.0
2004,1,15,14,22490.0
2004,1,15,15,22878.0
2004,1,15,16,22865.0
2004,1,15,17,22696.0
2004,1,15,18,22626.0
2004,1,15,19,22641.0
2004,1,15,20,22724.0
2004,1,15,21,23403.0
2004,1,15,22,25082.0
2004,1,15,23,25262.0
2004,1,15,24,24722.0
2004,1,16,1,23989.0
2004,1,16,2,22907.0
2004,1,16,3,21383.0
2004,1,16,4,19897.0
2004,1,16,5,18716.0
2004,1,16,6,18141.0
2004,1,16,7,17846.0
2004,1,16,8,17712.0
2004,1,16,9,17846.0
2004,1,16,10,18720.0
2004,1,16,11,20479.0
2004,1,16,12,21954.0
2004,1,16,13,22753.0
2004,1,16,14,23271.0
2004,1,16,15,23378.0
2004,1,16,16,23460.0
2004,1,16,17,23193.0
2004,1,16,18,22898.0
2004,1,16,19,22590.0
2004,1,16,20,22446.0
2004,1,16,21,22838.0
2004,1,16,22,24120.0
2004,1,16,23,24078.0
2004,1,16,24,23466.0
2004,1,17,1,22693.0
2004,1,17,2,21727.0
2004,1,17,3,20394.0
2004,1,17,4,19043.0
2004,1,17,5,17830.0
2004,1,17,6,17125.0
2004,1,17,7,16680.0
2004,1,17,8,16450.0
2004,1,17,9,16411.0
2004,1,17,10,16711.0
2004,1,17,11,17391.0
2004,1,17,12,18038.0
2004,1,17,13,19033.0
2004,1,17,14,19729.0
2004,1,17,15,20161.0
2004,1,17,16,19976.0
