region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.0,0.0,1,10,4.238533638393012,0.0,4.238533638393012,174.54253096103588
ERCOT,0.0,0.25,1,10,4.393834873441324,0.0,4.393834873441324,169.44298886957472
ERCOT,0.0,0.5,1,10,5.614973049316353,0.0,5.614973049316353,165.76915017853716
ERCOT,0.25,0.0,1,10,3.631025394205948,0.0,3.631025394205948,158.24414976371375
ERCOT,0.25,0.25,1,10,3.5978537862062945,0.0,3.5978537862062945,142.04101665240933
ERCOT,0.25,0.5,1,10,4.607630187681983,0.0,4.607630187681983,137.90028602102126
ERCOT,0.5,0.0,1,10,3.7197165644588153,0.0,3.7197165644588153,158.01924745891674
ERCOT,0.5,0.25,1,10,3.9175566012991068,0.0,3.9175566012991068,141.18829752311305
ERCOT,0.5,0.5,1,10,5.154056957755953,0.0,5.154056957755953,136.42056966477517
ERCOT,0.0,0.0,2,10,4.166809385258359,0.20496156508547636,4.174801814091017,174.33756939595042
ERCOT,0.0,0.25,2,10,4.405781456093565,0.25822522346711674,4.414602077927925,169.18476364610757
ERCOT,0.0,0.5,2,10,5.593821002120632,0.215194215990252,5.598977653323847,165.55395596254695
ERCOT,0.25,0.0,2,10,3.9522298972283925,0.755528544978652,4.1027780193434795,157.48862121873512
ERCOT,0.25,0.25,2,10,3.8185667031199086,0.7180774841468329,3.946403665422031,141.3229391682625
ERCOT,0.25,0.5,2,10,4.529202850285933,1.2131765577804754,4.790350823192262,136.68710946324077
ERCOT,0.5,0.0,2,10,3.9627660399260507,0.8118569983158264,4.117303434990747,157.20739046060092
ERCOT,0.5,0.25,2,10,4.022763275240673,0.7305633271163658,4.14917533488766,140.45773419599666
ERCOT,0.5,0.5,2,10,5.109624521109359,1.3880405498450765,5.4404404624293825,135.0325291149301
ERCOT,0.0,0.0,3,10,4.179514685510681,0.47245460254410115,4.214900470053448,174.04713975536163
ERCOT,0.0,0.25,3,10,4.387266076274204,0.4799689961429429,4.420360381284387,168.89922096967757
ERCOT,0.0,0.5,3,10,5.577297184396862,0.38558464101276085,5.594571184371003,165.32100973264076
ERCOT,0.25,0.0,3,10,3.952385992545635,1.0511355848421258,4.140863782833044,156.95142611541593
ERCOT,0.25,0.25,3,10,3.864563326288651,1.01064997333901,4.041614177877708,140.7809573146766
ERCOT,0.25,0.5,3,10,4.5853314729111805,1.8347503872424362,5.067543606987218,135.63381541890186
ERCOT,0.5,0.0,3,10,3.9990554227750956,1.0643082574945733,4.190856058559056,156.66547663873672
ERCOT,0.5,0.25,3,10,4.161277909283464,1.3479166371473579,4.4900285784568,139.6305944742674
ERCOT,0.5,0.5,3,10,5.398796180916016,2.418305000524811,6.092490184971492,133.59143922847474
ERCOT,0.0,0.0,4,10,4.203750179419171,0.5876809608135901,4.255174552811241,173.80795255185356
