region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.0,0.0,-1,12,3.865811613927149,1.0064781726691034,4.0085493476853635,172.98321594803298
ERCOT,0.0,0.25,-1,12,4.414839133080653,1.339785997988855,4.639953537924094,167.54870234172802
ERCOT,0.0,0.5,-1,12,5.193346488192505,1.341191649845648,5.387038934887925,164.21046502397493
ERCOT,0.25,0.0,-1,12,3.717092281455609,1.9805888623769936,4.25059004594079,154.20062085501684
ERCOT,0.25,0.25,-1,12,3.30840346971501,2.6111289430242475,4.2500016316135545,137.38071170995988
ERCOT,0.25,0.5,-1,12,3.7210901790428546,3.60602778748607,5.310558739074545,130.824972803872
ERCOT,0.5,0.0,-1,12,3.7604181146060838,2.0007527419534146,4.306483617127179,153.80082306376377
ERCOT,0.5,0.25,-1,12,4.067401673536001,3.125755103339346,5.1576361299928415,135.45532871786727
ERCOT,0.5,0.5,-1,12,5.128079603501674,4.6576181200739875,7.003287098393052,127.25387587137998
ERCOT,0.0,0.0,-1,13,3.7628561910261817,1.1183154627907719,3.9575549402413377,173.157419889707
ERCOT,0.0,0.25,-1,13,4.262304403418449,1.4689352313332331,4.555592104881721,167.6192034429824
ERCOT,0.0,0.5,-1,13,5.00746387988159,1.5205783845289227,5.290629496260928,164.08958916876009
ERCOT,0.25,0.0,-1,13,3.5839806208900495,2.092373937344956,4.204220634193721,154.11278636050895
ERCOT,0.25,0.25,-1,13,3.5248256082972524,2.608533444059628,4.416850220322504,136.86329659854067
ERCOT,0.25,0.5,-1,13,4.009386691581234,3.5785637285259386,5.492839371208065,130.21148604641593
ERCOT,0.5,0.0,-1,13,3.6195983504823346,2.112553852010912,4.252713389122447,153.73705187654366
ERCOT,0.5,0.25,-1,13,4.071617086261686,3.102761965796907,5.1457431264692035,135.0437086311178
ERCOT,0.5,0.5,-1,13,5.043788805862066,4.531209611882435,6.871962058769922,126.86093857981729
ERCOT,0.0,0.0,-1,3,3.1895097117351403,0.7661331532148641,3.283609062503845,170.51722994534202
ERCOT,0.0,0.25,-1,3,1.6026897122982813,1.7798709705758329,2.4156232457883826,163.79762801327308
ERCOT,0.0,0.5,-1,3,0.9607393127674845,1.2299796763941364,1.7029591135180786,160.05620829138556
ERCOT,0.25,0.0,-1,3,3.2723729453035393,2.1959972252708617,3.9772497718440305,153.03955406602657
ERCOT,0.25,0.25,-1,3,2.4722202437593586,2.77547207631751,3.730431605616584,135.65555305753256
ERCOT,0.25,0.5,-1,3,2.3592763058578186,3.3780269023264835,4.209058951941824,129.89183216249063
ERCOT,0.5,0.0,-1,3,3.3801336483538535,2.167761027686391,4.055186458186342,152.5682461461826
